[2025-03-12T16:35:39.845Z] info: ::1 Loaded from cache
[2025-03-12T16:35:56.059Z] info: ::1 Loaded from cache
[2025-03-12T16:35:57.850Z] info: ::1 Loaded from cache
[2025-03-12T16:35:59.319Z] info: ::1 Loaded from cache
[2025-03-12T16:36:00.095Z] info: ::1 Loaded from cache
[2025-03-12T16:36:31.168Z] info: ::1 Loaded from cache
[2025-03-12T16:37:15.718Z] info: ::1 Loaded from cache
[2025-03-12T16:37:24.704Z] info: ::1 Loaded from cache
[2025-03-12T16:37:26.675Z] info: ::1 Loaded from cache
[2025-03-12T16:37:35.909Z] info: ::1 Loaded from cache
[2025-03-12T16:37:36.104Z] info: ::1 Loaded from cache
[2025-03-12T16:37:39.008Z] info: ::1 Loaded from cache
[2025-03-12T16:41:03.257Z] info: ::1 Loaded from cache
[2025-03-12T16:41:08.825Z] info: ::1 Loaded from cache
[2025-03-12T16:42:12.386Z] info: ::1 Loaded from cache
[2025-03-12T16:42:38.471Z] info: ::1 Loaded from cache
[2025-03-12T16:43:01.009Z] info: ::1 Loaded from cache
[2025-03-13T07:28:18.594Z] info: ::1 - Retrieved all books
[2025-03-13T07:28:29.426Z] info: ::1 - Retrieved all books
[2025-03-13T07:28:40.094Z] info: ::1 - Retrieved all books
[2025-03-13T07:28:50.486Z] info: ::1 - Retrieved all books
[2025-03-13T07:28:51.224Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:10.158Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:10.446Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:10.755Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:10.930Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:11.096Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:11.261Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:11.416Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:11.571Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:19.592Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:20.010Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:20.273Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:20.448Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:20.607Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:20.768Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:20.931Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:21.092Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:21.255Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:21.421Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:21.701Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:21.965Z] info: ::1 - Retrieved all books
[2025-03-13T07:29:22.262Z] info: ::1 - Retrieved all books
[2025-03-13T07:34:56.097Z] info: ::1 - Retrieved all authors
[2025-03-13T07:45:06.259Z] info: ::1 - Retrieved all books
[2025-03-13T07:45:08.914Z] info: ::1 - Retrieved all books
[2025-03-13T07:45:11.580Z] info: ::1 - Retrieved all books
[2025-03-13T07:45:24.453Z] info: ::1 - Retrieved all books
[2025-03-13T07:45:30.468Z] info: ::1 - Retrieved all books
[2025-03-13T07:45:33.490Z] info: ::1 - Retrieved all books
